 3200  1.0000E-01
   i   x             den           ener          pres          vel           cs
  124  3.087500E-01  5.987972E-06  2.115478E+07  8.444949E+01  7.410000E-01  4.848228E+03
  125  3.112500E-01  6.209269E-06  2.040083E+07  8.444949E+01  7.470000E-01  4.761049E+03
  126  3.137500E-01  6.436877E-06  1.967946E+07  8.444949E+01  7.530000E-01  4.676116E+03
  127  3.162500E-01  6.670921E-06  1.898902E+07  8.444949E+01  7.590000E-01  4.593355E+03
  128  3.187500E-01  6.911531E-06  1.832796E+07  8.444949E+01  7.650000E-01  4.512693E+03
  129  3.212500E-01  7.158837E-06  1.769481E+07  8.444949E+01  7.710000E-01  4.434061E+03
  130  3.237500E-01  7.412972E-06  1.708818E+07  8.444949E+01  7.770000E-01  4.357393E+03
  131  3.262500E-01  7.674070E-06  1.650679E+07  8.444950E+01  7.830000E-01  4.282625E+03
  132  3.287500E-01  7.942264E-06  1.594939E+07  8.444950E+01  7.890000E-01  4.209696E+03
  133  3.312500E-01  8.217692E-06  1.541482E+07  8.444950E+01  7.950000E-01  4.138548E+03
  134  3.337500E-01  8.500493E-06  1.490199E+07  8.444950E+01  8.010000E-01  4.069123E+03
  135  3.362500E-01  8.790806E-06  1.440985E+07  8.444950E+01  8.070000E-01  4.001369E+03
  136  3.387500E-01  9.088773E-06  1.393744E+07  8.444950E+01  8.130000E-01  3.935231E+03
  137  3.412500E-01  9.394537E-06  1.348382E+07  8.444950E+01  8.190000E-01  3.870662E+03
  138  3.437500E-01  9.708242E-06  1.304811E+07  8.444950E+01  8.250000E-01  3.807611E+03
  139  3.462500E-01  1.003003E-05  1.262949E+07  8.444950E+01  8.310000E-01  3.746034E+03
  140  3.487500E-01  1.036006E-05  1.222717E+07  8.444950E+01  8.370000E-01  3.685885E+03
  141  3.512500E-01  1.069848E-05  1.184040E+07  8.444950E+01  8.430000E-01  3.627120E+03
  142  3.537500E-01  1.104542E-05  1.146848E+07  8.444950E+01  8.490000E-01  3.569700E+03
  143  3.562500E-01  1.140106E-05  1.111074E+07  8.444950E+01  8.550000E-01  3.513583E+03
  144  3.587500E-01  1.176554E-05  1.076654E+07  8.444950E+01  8.610000E-01  3.458732E+03
  145  3.612500E-01  1.213902E-05  1.043529E+07  8.444950E+01  8.670000E-01  3.405109E+03
  146  3.637500E-01  1.252166E-05  1.011641E+07  8.444950E+01  8.730000E-01  3.352679E+03
  147  3.662500E-01  1.291361E-05  9.809358E+06  8.444950E+01  8.790000E-01  3.301407E+03
  148  3.687500E-01  1.331504E-05  9.513620E+06  8.444950E+01  8.850000E-01  3.251260E+03
  149  3.712500E-01  1.372611E-05  9.228707E+06  8.444950E+01  8.910000E-01  3.202205E+03
  150  3.737500E-01  1.414698E-05  8.954153E+06  8.444950E+01  8.970000E-01  3.154213E+03
  151  3.762500E-01  1.457782E-05  8.689517E+06  8.444950E+01  9.030000E-01  3.107253E+03
  152  3.787500E-01  1.501880E-05  8.434378E+06  8.444950E+01  9.090000E-01  3.061296E+03
  153  3.812500E-01  1.547009E-05  8.188335E+06  8.444950E+01  9.150000E-01  3.016314E+03
  154  3.837500E-01  1.593185E-05  7.951008E+06  8.444950E+01  9.210000E-01  2.972281E+03
  155  3.862500E-01  1.640426E-05  7.722034E+06  8.444950E+01  9.270000E-01  2.929170E+03
  156  3.887500E-01  1.688749E-05  7.501068E+06  8.444950E+01  9.330000E-01  2.886957E+03
  157  3.912500E-01  1.738173E-05  7.287782E+06  8.444950E+01  9.390000E-01  2.845617E+03
  158  3.937500E-01  1.788714E-05  7.081861E+06  8.444950E+01  9.450000E-01  2.805126E+03
  159  3.962500E-01  1.840391E-05  6.883007E+06  8.444950E+01  9.510000E-01  2.765463E+03
  160  3.987500E-01  1.893222E-05  6.690935E+06  8.444950E+01  9.570000E-01  2.726604E+03
  161  4.012500E-01  1.947225E-05  6.505373E+06  8.444950E+01  9.630000E-01  2.688530E+03
  162  4.037500E-01  2.002418E-05  6.326063E+06  8.444950E+01  9.690000E-01  2.651218E+03
  163  4.062500E-01  2.058821E-05  6.152757E+06  8.444950E+01  9.750000E-01  2.614650E+03
  164  4.087500E-01  2.116452E-05  5.985218E+06  8.444950E+01  9.810000E-01  2.578806E+03
  165  4.112500E-01  2.175329E-05  5.823222E+06  8.444950E+01  9.870000E-01  2.543668E+03
  166  4.137500E-01  2.235473E-05  5.666552E+06  8.444950E+01  9.930000E-01  2.509217E+03
